rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
195,Djibouti,DJI,64,65,0,CAF,2003-04-23
194,Sao Tome e Principe,STP,85,86,2,CAF,2003-04-23
193,Aruba,ARU,85,86,2,CONCACAF,2003-04-23
192,Somalia,SOM,86,87,2,CAF,2003-04-23
191,Equatorial Guinea,EQG,86,82,-2,CAF,2003-04-23
199,Puerto Rico,PUR,46,47,0,CONCACAF,2003-04-23
102,Bolivia,BOL,425,430,4,CONMEBOL,2003-04-23
132,Sierra Leone,SLE,325,309,-4,CAF,2003-04-23
117,Korea DPR,PRK,391,336,-11,AFC,2003-04-23
1,Brazil,BRA,849,853,0,CONMEBOL,2003-04-23
147,Palestine,PLE,280,280,3,AFC,2003-04-23
146,Suriname,SUR,281,282,3,CONCACAF,2003-04-23
145,Fiji,FIJ,283,285,3,OFC,2003-04-23
144,Bangladesh,BAN,288,272,-3,AFC,2003-04-23
143,Gambia,GAM,292,274,-3,CAF,2003-04-23
142,Andorra,AND,299,302,4,UEFA,2003-04-23
141,Ethiopia,ETH,301,298,1,CAF,2003-04-23
140,Sri Lanka,SRI,305,299,1,AFC,2003-04-23
139,Turkmenistan,TKM,309,312,4,AFC,2003-04-23
138,Myanmar,MYA,313,258,-13,AFC,2003-04-23
137,Grenada,GRN,313,317,3,CONCACAF,2003-04-23
136,Burundi,BDI,315,307,-1,CAF,2003-04-23
135,Benin,BEN,320,320,2,CAF,2003-04-23
134,Hong Kong,HKG,321,287,-7,AFC,2003-04-23
133,Mozambique,MOZ,323,326,2,CAF,2003-04-23
181,Niger,NIG,130,125,-2,CAF,2003-04-23
118,St. Kitts and Nevis,SKN,391,395,6,CONCACAF,2003-04-23
119,Tahiti,TAH,377,378,0,OFC,2003-04-23
120,Faroe Islands,FRO,374,378,2,UEFA,2003-04-23
121,Guinea,GUI,368,359,-1,CAF,2003-04-23
122,Rwanda,RWA,368,346,-4,CAF,2003-04-23
123,Kazakhstan,KAZ,366,372,3,UEFA,2003-04-23
116,Lebanon,LBN,393,398,6,AFC,2003-04-23
124,Panama,PAN,364,368,3,CONCACAF,2003-04-23
126,India,IND,357,356,3,AFC,2003-04-23
127,Malta,MLT,347,349,2,UEFA,2003-04-23
128,Lesotho,LES,343,338,1,CAF,2003-04-23
129,Mauritius,MRI,333,331,-1,CAF,2003-04-23
130,Namibia,NAM,330,334,1,CAF,2003-04-23
131,Botswana,BOT,327,321,-1,CAF,2003-04-23
125,Gabon,GAB,361,353,1,CAF,2003-04-23
180,Mauritania,MTN,135,130,-1,CAF,2003-04-23
156,Dominican Republic,DOM,230,231,2,CONCACAF,2003-04-23
177,Dominica,DMA,157,159,0,CONCACAF,2003-04-23
67,Côte d'Ivoire,CIV,518,505,-1,CAF,2003-04-23
66,Venezuela,VEN,519,498,-3,CONMEBOL,2003-04-23
65,Estonia,EST,519,519,0,UEFA,2003-04-23
64,Ghana,GHA,520,521,3,CAF,2003-04-23
63,Congo DR,COD,521,520,0,CAF,2003-04-23
62,China PR,CHN,526,530,4,AFC,2003-04-23
61,Austria,AUT,528,533,4,UEFA,2003-04-23
60,Zimbabwe,ZIM,529,527,0,CAF,2003-04-23
59,Scotland,SCO,530,520,-5,UEFA,2003-04-23
58,Hungary,HUN,534,535,2,UEFA,2003-04-23
57,Thailand,THA,537,541,2,AFC,2003-04-23
56,Guatemala,GUA,537,541,2,CONCACAF,2003-04-23
55,Cuba,CUB,537,493,-18,CONCACAF,2003-04-23
54,Iraq,IRQ,541,547,1,AFC,2003-04-23
68,Iceland,ISL,516,521,6,UEFA,2003-04-23
53,Slovakia,SVK,555,530,-6,UEFA,2003-04-23
51,Trinidad and Tobago,TRI,560,564,2,CONCACAF,2003-04-23
50,Jamaica,JAM,568,551,-1,CONCACAF,2003-04-23
49,Wales,WAL,570,551,-3,UEFA,2003-04-23
48,Australia,AUS,572,576,3,AFC,2003-04-23
47,Finland,FIN,573,582,5,UEFA,2003-04-23
46,Greece,GRE,581,573,-2,UEFA,2003-04-23
45,Ukraine,UKR,583,576,-2,UEFA,2003-04-23
44,Israel,ISR,583,580,1,UEFA,2003-04-23
43,Switzerland,SUI,588,587,2,UEFA,2003-04-23
42,Egypt,EGY,591,593,2,CAF,2003-04-23
41,Tunisia,TUN,593,579,-3,CAF,2003-04-23
40,Honduras,HON,595,598,1,CONCACAF,2003-04-23
39,Saudi Arabia,KSA,602,608,1,AFC,2003-04-23
38,Bulgaria,BUL,607,576,-8,UEFA,2003-04-23
52,New Zealand,NZL,559,561,2,OFC,2003-04-23
69,Zambia,ZAM,515,496,-3,CAF,2003-04-23
70,Algeria,ALG,514,513,3,CAF,2003-04-23
71,Qatar,QAT,511,514,5,AFC,2003-04-23
101,Madagascar,MAD,427,418,-3,CAF,2003-04-23
100,Bahrain,BHR,427,430,3,AFC,2003-04-23
99,Singapore,SGP,437,420,-4,AFC,2003-04-23
98,Libya,LBY,440,433,2,CAF,2003-04-23
97,Lithuania,LTU,441,414,-9,UEFA,2003-04-23
96,Vietnam,VIE,444,447,1,AFC,2003-04-23
95,Barbados,BRB,445,449,1,CONCACAF,2003-04-23
94,Liberia,LBR,447,452,2,CAF,2003-04-23
93,Georgia,GEO,448,450,0,UEFA,2003-04-23
92,Syria,SYR,451,455,1,AFC,2003-04-23
91,FYR Macedonia,MKD,452,464,4,UEFA,2003-04-23
90,United Arab Emirates,UAE,453,458,0,AFC,2003-04-23
89,Togo,TOG,454,459,0,CAF,2003-04-23
88,Albania,ALB,458,423,-13,UEFA,2003-04-23
87,Cyprus,CYP,468,470,1,UEFA,2003-04-23
86,Latvia,LVA,470,485,10,UEFA,2003-04-23
85,Kuwait,KUW,471,476,2,AFC,2003-04-23
72,Bosnia and Herzegovina,BIH,507,461,-16,UEFA,2003-04-23
73,Jordan,JOR,495,496,2,AFC,2003-04-23
74,Canada,CAN,492,496,4,CONCACAF,2003-04-23
75,Belarus,BLR,490,485,0,UEFA,2003-04-23
76,Haiti,HAI,488,492,2,CONCACAF,2003-04-23
77,Kenya,KEN,488,477,-5,CAF,2003-04-23
37,Slovenia,SVN,610,613,1,UEFA,2003-04-23
78,Peru,PER,485,472,-7,CONMEBOL,2003-04-23
80,Chile,CHI,481,483,3,CONMEBOL,2003-04-23
81,Burkina Faso,BFA,478,480,2,CAF,2003-04-23
82,El Salvador,SLV,475,477,1,CONCACAF,2003-04-23
104,Uzbekistan,UZB,422,425,4,AFC,2003-04-23
83,Angola,ANG,474,479,3,CAF,2003-04-23
84,Indonesia,IDN,471,473,0,AFC,2003-04-23
79,Mali,MLI,483,483,1,CAF,2003-04-23
36,Morocco,MAR,610,615,1,CAF,2003-04-23
35,Colombia,COL,612,611,-2,CONMEBOL,2003-04-23
34,IR Iran,IRN,618,623,2,AFC,2003-04-23
109,Uganda,UGA,410,408,1,CAF,2003-04-23
110,Sudan,SDN,405,391,-4,CAF,2003-04-23
148,Yemen,YEM,276,279,3,AFC,2003-04-23
149,Maldives,MDV,268,271,1,AFC,2003-04-23
150,Solomon Islands,SOL,262,265,1,OFC,2003-04-23
151,St. Vincent and the Grenadines,VIN,258,261,1,CONCACAF,2003-04-23
152,Liechtenstein,LIE,254,255,0,UEFA,2003-04-23
153,Cape Verde Islands,CPV,250,220,-4,CAF,2003-04-23
154,Luxembourg,LUX,249,250,1,UEFA,2003-04-23
155,Tanzania,TAN,232,230,0,CAF,2003-04-23
103,Malawi,MWI,422,425,4,CAF,2003-04-23
157,Chinese Taipei,TPE,228,229,1,AFC,2003-04-23
158,Antigua and Barbuda,ATG,224,214,-2,CONCACAF,2003-04-23
159,Nepal,NEP,215,217,1,AFC,2003-04-23
160,Pakistan,PAK,215,193,-5,AFC,2003-04-23
161,Laos,LAO,214,186,-8,AFC,2003-04-23
162,Vanuatu,VAN,214,215,3,OFC,2003-04-23
176,Bermuda,BER,158,159,0,CONCACAF,2003-04-23
175,Guyana,GUY,163,165,0,CONCACAF,2003-04-23
174,Tajikistan,TJK,170,172,2,AFC,2003-04-23
173,Nicaragua,NCA,171,171,0,CONCACAF,2003-04-23
172,Cayman Islands,CAY,172,173,1,CONCACAF,2003-04-23
171,Cambodia,CAM,181,182,1,AFC,2003-04-23
108,St. Lucia,LCA,411,389,-7,CONCACAF,2003-04-23
170,Kyrgyz Republic,KGZ,184,186,2,AFC,2003-04-23
168,Samoa,SAM,191,192,2,OFC,2003-04-23
167,British Virgin Islands,VGB,192,193,3,CONCACAF,2003-04-23
166,Belize,BLZ,192,195,3,CONCACAF,2003-04-23
165,Chad,CHA,199,170,-9,CAF,2003-04-23
164,San Marino,SMR,203,196,2,UEFA,2003-04-23
163,Eritrea,ERI,208,206,2,CAF,2003-04-23
169,Papua New Guinea,PNG,186,188,2,OFC,2003-04-23
178,Tonga,TGA,150,151,0,OFC,2003-04-23
107,Congo,CGO,411,416,2,CAF,2003-04-23
2,Spain,ESP,785,780,0,UEFA,2003-04-23
33,Ecuador,ECU,625,630,4,CONMEBOL,2003-04-23
32,Nigeria,NGA,626,627,2,CAF,2003-04-23
31,South Africa,RSA,628,627,0,CAF,2003-04-23
30,Senegal,SEN,634,639,2,CAF,2003-04-23
29,Romania,ROU,635,650,5,UEFA,2003-04-23
28,Poland,POL,635,623,-5,UEFA,2003-04-23
27,Uruguay,URU,637,640,0,CONMEBOL,2003-04-23
26,Croatia,CRO,641,622,-8,UEFA,2003-04-23
105,Armenia,ARM,421,392,-8,UEFA,2003-04-23
24,Russia,RUS,648,654,2,UEFA,2003-04-23
23,Norway,NOR,656,646,-3,UEFA,2003-04-23
22,Serbia and Montenegro,SCG,659,667,2,UEFA,2003-04-23
21,Korea Republic,KOR,660,668,2,AFC,2003-04-23
20,Sweden,SWE,662,652,-3,UEFA,2003-04-23
19,Paraguay,PAR,670,672,1,CONMEBOL,2003-04-23
18,Costa Rica,CRC,672,660,-3,CONCACAF,2003-04-23
17,Cameroon,CMR,673,678,0,CAF,2003-04-23
3,France,FRA,782,778,0,UEFA,2003-04-23
4,Germany,GER,755,758,-1,UEFA,2003-04-23
5,Netherlands,NED,752,752,-1,UEFA,2003-04-23
6,Argentina,ARG,750,761,2,CONMEBOL,2003-04-23
7,England,ENG,742,725,-2,UEFA,2003-04-23
8,Turkey,TUR,728,732,1,UEFA,2003-04-23
106,Oman,OMA,418,422,4,AFC,2003-04-23
9,Mexico,MEX,724,729,1,CONCACAF,2003-04-23
11,Denmark,DEN,715,704,0,UEFA,2003-04-23
12,Portugal,POR,709,700,0,UEFA,2003-04-23
13,Czech Republic,CZE,705,685,-2,UEFA,2003-04-23
14,Italy,ITA,702,699,1,UEFA,2003-04-23
15,Republic of Ireland,IRL,698,696,1,UEFA,2003-04-23
16,Belgium,BEL,682,683,0,UEFA,2003-04-23
10,USA,USA,719,723,0,CONCACAF,2003-04-23
25,Japan,JPN,647,647,0,AFC,2003-04-23
158,Tanzania,TAN,221,232,3,CAF,2003-05-21
139,Sri Lanka,SRI,305,305,-1,AFC,2003-05-21
89,Albania,ALB,458,458,1,UEFA,2003-05-21
88,Cyprus,CYP,463,468,1,UEFA,2003-05-21
87,Kuwait,KUW,464,471,2,AFC,2003-05-21
2,Spain,ESP,784,785,0,UEFA,2003-05-21
142,Andorra,AND,297,299,0,UEFA,2003-05-21
86,Angola,ANG,468,474,3,CAF,2003-05-21
84,Indonesia,IDN,469,471,0,AFC,2003-05-21
84,Georgia,GEO,469,448,-9,UEFA,2003-05-21
83,Burkina Faso,BFA,470,478,2,CAF,2003-05-21
82,El Salvador,SLV,472,475,0,CONCACAF,2003-05-21
81,Peru,PER,479,485,3,CONMEBOL,2003-05-21
80,Haiti,HAI,482,488,4,CONCACAF,2003-05-21
79,Latvia,LVA,483,470,-7,UEFA,2003-05-21
78,Kenya,KEN,486,488,1,CAF,2003-05-21
77,Canada,CAN,488,492,3,CONCACAF,2003-05-21
76,Belarus,BLR,489,490,1,UEFA,2003-05-21
75,Jordan,JOR,492,495,2,AFC,2003-05-21
74,Mali,MLI,493,483,-5,CAF,2003-05-21
73,Chile,CHI,494,481,-7,CONMEBOL,2003-05-21
72,Bosnia and Herzegovina,BIH,503,507,0,UEFA,2003-05-21
71,Qatar,QAT,506,511,0,AFC,2003-05-21
70,Iceland,ISL,509,516,2,UEFA,2003-05-21
69,Zambia,ZAM,512,515,0,CAF,2003-05-21
68,China PR,CHN,513,526,6,AFC,2003-05-21
67,Ghana,GHA,516,520,3,CAF,2003-05-21
66,Algeria,ALG,517,514,-4,CAF,2003-05-21
65,Congo DR,COD,520,521,2,CAF,2003-05-21
90,Syria,SYR,448,451,-2,AFC,2003-05-21
64,Scotland,SCO,524,530,5,UEFA,2003-05-21
90,United Arab Emirates,UAE,448,453,0,AFC,2003-05-21
93,FYR Macedonia,MKD,446,452,2,UEFA,2003-05-21
120,Tahiti,TAH,375,377,1,OFC,2003-05-21
119,Eswatini,SWZ,387,398,6,CAF,2003-05-21
118,Lebanon,LBN,388,393,2,AFC,2003-05-21
117,St. Kitts and Nevis,SKN,389,391,-1,CONCACAF,2003-05-21
116,Korea DPR,PRK,391,391,-1,AFC,2003-05-21
115,Moldova,MDA,392,395,0,UEFA,2003-05-21
113,Faroe Islands,FRO,395,374,-7,UEFA,2003-05-21
113,Azerbaijan,AZE,395,397,-1,UEFA,2003-05-21
112,Malaysia,MAS,396,401,0,AFC,2003-05-21
111,Northern Ireland,NIR,399,404,0,UEFA,2003-05-21
110,Sudan,SDN,404,405,0,CAF,2003-05-21
109,Uganda,UGA,409,410,0,CAF,2003-05-21
108,St. Lucia,LCA,410,411,0,CONCACAF,2003-05-21
107,Oman,OMA,413,418,1,AFC,2003-05-21
105,Armenia,ARM,417,421,0,UEFA,2003-05-21
105,Uzbekistan,UZB,417,422,1,AFC,2003-05-21
104,Malawi,MWI,418,422,1,CAF,2003-05-21
103,Bolivia,BOL,419,425,1,CONMEBOL,2003-05-21
102,Madagascar,MAD,421,427,1,CAF,2003-05-21
101,Bahrain,BHR,422,427,1,AFC,2003-05-21
100,Congo,CGO,424,411,-7,CAF,2003-05-21
99,Lithuania,LTU,434,441,2,UEFA,2003-05-21
98,Singapore,SGP,437,437,-1,AFC,2003-05-21
97,Libya,LBY,439,440,-1,CAF,2003-05-21
96,Liberia,LBR,441,447,2,CAF,2003-05-21
95,Vietnam,VIE,442,444,-1,AFC,2003-05-21
94,Barbados,BRB,444,445,-1,CONCACAF,2003-05-21
92,Togo,TOG,447,454,3,CAF,2003-05-21
121,Rwanda,RWA,367,368,-1,CAF,2003-05-21
63,Venezuela,VEN,527,519,-3,CONMEBOL,2003-05-21
61,Austria,AUT,528,528,0,UEFA,2003-05-21
29,Poland,POL,627,635,1,UEFA,2003-05-21
28,Uruguay,URU,629,637,1,CONMEBOL,2003-05-21
27,Romania,ROU,631,635,-2,UEFA,2003-05-21
26,Croatia,CRO,640,641,0,UEFA,2003-05-21
25,Russia,RUS,641,648,1,UEFA,2003-05-21
24,Norway,NOR,643,656,1,UEFA,2003-05-21
23,Japan,JPN,645,647,-2,AFC,2003-05-21
22,Serbia and Montenegro,SCG,650,659,0,UEFA,2003-05-21
21,Korea Republic,KOR,656,660,0,AFC,2003-05-21
20,Sweden,SWE,660,662,0,UEFA,2003-05-21
19,Paraguay,PAR,664,670,0,CONMEBOL,2003-05-21
18,Cameroon,CMR,666,673,1,CAF,2003-05-21
17,Costa Rica,CRC,671,672,-1,CONCACAF,2003-05-21
16,Belgium,BEL,681,682,0,UEFA,2003-05-21
15,Republic of Ireland,IRL,704,698,0,UEFA,2003-05-21
14,Portugal,POR,706,709,2,UEFA,2003-05-21
13,Czech Republic,CZE,707,705,0,UEFA,2003-05-21
12,Italy,ITA,709,702,-2,UEFA,2003-05-21
10,Denmark,DEN,715,715,-1,UEFA,2003-05-21
10,USA,USA,715,719,0,CONCACAF,2003-05-21
9,Mexico,MEX,720,724,0,CONCACAF,2003-05-21
8,Turkey,TUR,722,728,0,UEFA,2003-05-21
7,England,ENG,739,742,0,UEFA,2003-05-21
6,Netherlands,NED,746,752,1,UEFA,2003-05-21
5,Argentina,ARG,753,750,-1,CONMEBOL,2003-05-21
4,Germany,GER,757,755,0,UEFA,2003-05-21
2,France,FRA,784,782,-1,UEFA,2003-05-21
29,Senegal,SEN,627,634,-1,CAF,2003-05-21
61,Estonia,EST,528,519,-4,UEFA,2003-05-21
31,South Africa,RSA,624,628,0,CAF,2003-05-21
33,Ecuador,ECU,620,625,0,CONMEBOL,2003-05-21
59,Thailand,THA,533,537,2,AFC,2003-05-21
59,Côte d'Ivoire,CIV,533,518,-8,CAF,2003-05-21
58,Guatemala,GUA,534,537,2,CONCACAF,2003-05-21
56,Cuba,CUB,535,537,1,CONCACAF,2003-05-21
56,Iraq,IRQ,535,541,2,AFC,2003-05-21
55,Zimbabwe,ZIM,538,529,-5,CAF,2003-05-21
54,Hungary,HUN,544,534,-4,UEFA,2003-05-21
53,Slovakia,SVK,548,555,0,UEFA,2003-05-21
52,Trinidad and Tobago,TRI,553,560,1,CONCACAF,2003-05-21
51,New Zealand,NZL,557,559,-1,OFC,2003-05-21
50,Wales,WAL,558,570,1,UEFA,2003-05-21
49,Australia,AUS,568,572,1,AFC,2003-05-21
48,Jamaica,JAM,570,568,-2,CONCACAF,2003-05-21
47,Ukraine,UKR,570,583,2,UEFA,2003-05-21
45,Greece,GRE,577,581,-1,UEFA,2003-05-21
45,Finland,FIN,577,573,-2,UEFA,2003-05-21
44,Egypt,EGY,587,591,2,CAF,2003-05-21
43,Switzerland,SUI,588,588,0,UEFA,2003-05-21
42,Saudi Arabia,KSA,594,602,3,AFC,2003-05-21
40,Israel,ISR,596,583,-4,UEFA,2003-05-21
40,Tunisia,TUN,596,593,-1,CAF,2003-05-21
39,Colombia,COL,601,612,4,CONMEBOL,2003-05-21
38,Morocco,MAR,604,610,2,CAF,2003-05-21
37,Honduras,HON,608,595,-3,CONCACAF,2003-05-21
36,Slovenia,SVN,610,610,-1,UEFA,2003-05-21
35,Bulgaria,BUL,611,607,-3,UEFA,2003-05-21
34,IR Iran,IRN,614,618,0,AFC,2003-05-21
32,Nigeria,NGA,621,626,0,CAF,2003-05-21
122,Kazakhstan,KAZ,366,366,-1,UEFA,2003-05-21
1,Brazil,BRA,843,849,0,CONMEBOL,2003-05-21
124,Panama,PAN,360,364,0,CONCACAF,2003-05-21
199,Afghanistan,AFG,48,48,1,AFC,2003-05-21
198,US Virgin Islands,VIR,50,50,1,CONCACAF,2003-05-21
197,Anguilla,AIA,60,61,1,CONCACAF,2003-05-21
196,Djibouti,DJI,63,64,1,CAF,2003-05-21
195,Bhutan,BHU,82,38,-5,AFC,2003-05-21
193,Aruba,ARU,84,85,0,CONCACAF,2003-05-21
193,Sao Tome e Principe,STP,84,85,-1,CAF,2003-05-21
192,Brunei Darussalam,BRU,85,86,2,AFC,2003-05-21
190,Equatorial Guinea,EQG,86,86,-1,CAF,2003-05-21
190,Somalia,SOM,86,86,-2,CAF,2003-05-21
189,Bahamas,BAH,105,106,1,CONCACAF,2003-05-21
188,Guinea-Bissau,GNB,113,115,1,CAF,2003-05-21
187,Seychelles,SEY,118,118,1,CAF,2003-05-21
186,Cook Islands,COK,119,120,1,OFC,2003-05-21
185,Macau,MAC,126,127,1,AFC,2003-05-21
200,Puerto Rico,PUR,46,46,1,CONCACAF,2003-05-21
201,Guam,GUM,21,21,0,AFC,2003-05-21
202,American Samoa,ASA,20,20,0,OFC,2003-05-21
203,Turks and Caicos Islands,TCA,16,16,0,CONCACAF,2003-05-21
125,Gabon,GAB,356,361,0,CAF,2003-05-21
126,Lesotho,LES,355,343,-2,CAF,2003-05-21
126,India,IND,355,357,0,AFC,2003-05-21
128,Malta,MLT,346,347,1,UEFA,2003-05-21
129,Mauritius,MRI,331,333,0,CAF,2003-05-21
130,Botswana,BOT,327,327,-1,CAF,2003-05-21
131,Namibia,NAM,324,330,1,CAF,2003-05-21
184,Philippines,PHI,128,130,2,AFC,2003-05-21
133,Sierra Leone,SLE,323,325,1,CAF,2003-05-21
135,Ethiopia,ETH,317,301,-6,CAF,2003-05-21
136,Benin,BEN,314,320,1,CAF,2003-05-21
137,Burundi,BDI,313,315,1,CAF,2003-05-21
138,Grenada,GRN,309,313,1,CONCACAF,2003-05-21
139,Turkmenistan,TKM,305,309,0,AFC,2003-05-21
139,Myanmar,MYA,305,313,1,AFC,2003-05-21
204,Montserrat,MSR,8,8,0,CONCACAF,2003-05-21
134,Hong Kong,HKG,320,321,0,AFC,2003-05-21
183,Niger,NIG,130,130,2,CAF,2003-05-21
131,Mozambique,MOZ,324,323,-2,CAF,2003-05-21
181,Mongolia,MNG,137,95,-8,AFC,2003-05-21
157,Antigua and Barbuda,ATG,223,224,-1,CONCACAF,2003-05-21
156,Chinese Taipei,TPE,228,228,-1,AFC,2003-05-21
155,Dominican Republic,DOM,229,230,-1,CONCACAF,2003-05-21
154,Luxembourg,LUX,247,249,0,UEFA,2003-05-21
153,Cape Verde Islands,CPV,250,250,0,CAF,2003-05-21
152,St. Vincent and the Grenadines,VIN,254,258,1,CONCACAF,2003-05-21
151,Solomon Islands,SOL,259,262,1,OFC,2003-05-21
159,Pakistan,PAK,215,215,-1,AFC,2003-05-21
150,Maldives,MDV,267,268,1,AFC,2003-05-21
148,Liechtenstein,LIE,274,254,-4,UEFA,2003-05-21
147,Palestine,PLE,278,280,0,AFC,2003-05-21
146,Fiji,FIJ,279,283,1,OFC,2003-05-21
145,Suriname,SUR,280,281,-1,CONCACAF,2003-05-21
144,Bangladesh,BAN,286,288,0,AFC,2003-05-21
143,Gambia,GAM,291,292,0,CAF,2003-05-21
182,Mauritania,MTN,134,135,2,CAF,2003-05-21
149,Yemen,YEM,273,276,1,AFC,2003-05-21
160,Nepal,NEP,214,215,1,AFC,2003-05-21
123,Guinea,GUI,364,368,2,CAF,2003-05-21
161,Laos,LAO,213,214,0,AFC,2003-05-21
161,Vanuatu,VAN,213,214,-1,OFC,2003-05-21
178,Tonga,TGA,148,150,0,OFC,2003-05-21
177,Dominica,DMA,154,157,0,CONCACAF,2003-05-21
180,Central African Republic,CTA,139,129,-3,CAF,2003-05-21
175,Guyana,GUY,162,163,0,CONCACAF,2003-05-21
174,Tajikistan,TJK,167,170,0,AFC,2003-05-21
172,Nicaragua,NCA,171,171,-1,CONCACAF,2003-05-21
172,Cayman Islands,CAY,171,172,0,CONCACAF,2003-05-21
176,Bermuda,BER,156,158,0,CONCACAF,2003-05-21
170,Kyrgyz Republic,KGZ,182,184,0,AFC,2003-05-21
169,Papua New Guinea,PNG,184,186,0,OFC,2003-05-21
168,Samoa,SAM,188,191,0,OFC,2003-05-21
166,British Virgin Islands,VGB,190,192,-1,CONCACAF,2003-05-21
166,Belize,BLZ,190,192,0,CONCACAF,2003-05-21
165,Chad,CHA,199,199,0,CAF,2003-05-21
163,Eritrea,ERI,207,208,0,CAF,2003-05-21
171,Cambodia,CAM,180,181,0,AFC,2003-05-21
163,San Marino,SMR,207,203,-1,UEFA,2003-05-21
178,Seychelles,SEY,157,118,-9,CAF,2003-06-25
9,USA,USA,717,715,-1,CONCACAF,2003-06-25
168,Samoa,SAM,185,188,0,OFC,2003-06-25
169,Papua New Guinea,PNG,182,184,0,OFC,2003-06-25
170,Kyrgyz Republic,KGZ,179,182,0,AFC,2003-06-25
170,Cambodia,CAM,179,180,-1,AFC,2003-06-25
175,Central African Republic,CTA,162,139,-5,CAF,2003-06-25
173,Cayman Islands,CAY,170,171,1,CONCACAF,2003-06-25
174,Niger,NIG,165,130,-9,CAF,2003-06-25
175,Tajikistan,TJK,162,167,1,AFC,2003-06-25
177,Guyana,GUY,161,162,2,CONCACAF,2003-06-25
172,Nicaragua,NCA,172,171,0,CONCACAF,2003-06-25
166,British Virgin Islands,VGB,189,190,0,CONCACAF,2003-06-25
158,Tanzania,TAN,225,221,0,CAF,2003-06-25
163,Nepal,NEP,211,214,3,AFC,2003-06-25
163,Laos,LAO,211,213,2,AFC,2003-06-25
162,Vanuatu,VAN,212,213,1,OFC,2003-06-25
161,San Marino,SMR,213,207,-2,UEFA,2003-06-25
160,Pakistan,PAK,215,215,1,AFC,2003-06-25
159,Antigua and Barbuda,ATG,221,223,2,CONCACAF,2003-06-25
179,Bermuda,BER,153,156,3,CONCACAF,2003-06-25
157,Dominican Republic,DOM,227,229,2,CONCACAF,2003-06-25
156,Chinese Taipei,TPE,228,228,0,AFC,2003-06-25
155,Eritrea,ERI,236,207,-8,CAF,2003-06-25
153,St. Vincent and the Grenadines,VIN,248,254,1,CONCACAF,2003-06-25
153,Luxembourg,LUX,248,247,-1,UEFA,2003-06-25
152,Maldives,MDV,266,267,2,AFC,2003-06-25
151,Yemen,YEM,268,273,2,AFC,2003-06-25
165,Chad,CHA,205,199,0,CAF,2003-06-25
179,Mauritania,MTN,153,134,-3,CAF,2003-06-25
190,Bahamas,BAH,103,105,1,CONCACAF,2003-06-25
182,Equatorial Guinea,EQG,147,86,-8,CAF,2003-06-25
150,Solomon Islands,SOL,269,259,-1,OFC,2003-06-25
1,Brazil,BRA,834,843,0,CONMEBOL,2003-06-25
2,France,FRA,814,784,0,UEFA,2003-06-25
3,Spain,ESP,762,784,1,UEFA,2003-06-25
4,Argentina,ARG,754,753,-1,CONMEBOL,2003-06-25
5,Netherlands,NED,752,746,-1,UEFA,2003-06-25
6,Germany,GER,745,757,2,UEFA,2003-06-25
7,Turkey,TUR,733,722,-1,UEFA,2003-06-25
8,England,ENG,727,739,1,UEFA,2003-06-25
204,Montserrat,MSR,8,8,0,CONCACAF,2003-06-25
203,Turks and Caicos Islands,TCA,16,16,0,CONCACAF,2003-06-25
202,American Samoa,ASA,19,20,0,OFC,2003-06-25
201,Guam,GUM,20,21,0,AFC,2003-06-25
181,Dominica,DMA,150,154,4,CONCACAF,2003-06-25
199,Afghanistan,AFG,48,48,0,AFC,2003-06-25
197,Anguilla,AIA,59,60,0,CONCACAF,2003-06-25
196,Djibouti,DJI,62,63,0,CAF,2003-06-25
194,Aruba,ARU,82,84,1,CONCACAF,2003-06-25
194,Sao Tome e Principe,STP,82,84,1,CAF,2003-06-25
193,Bhutan,BHU,83,82,-2,AFC,2003-06-25
192,Brunei Darussalam,BRU,84,85,0,AFC,2003-06-25
191,Somalia,SOM,86,86,1,CAF,2003-06-25
189,Guinea-Bissau,GNB,111,113,1,CAF,2003-06-25
188,Cook Islands,COK,116,119,2,OFC,2003-06-25
187,Philippines,PHI,125,128,3,AFC,2003-06-25
186,Macau,MAC,126,126,1,AFC,2003-06-25
185,Mongolia,MNG,138,137,4,AFC,2003-06-25
183,Tonga,TGA,145,148,5,OFC,2003-06-25
198,US Virgin Islands,VIR,50,50,0,CONCACAF,2003-06-25
200,Puerto Rico,PUR,45,46,0,CONCACAF,2003-06-25
149,Fiji,FIJ,274,279,3,OFC,2003-06-25
147,Suriname,SUR,278,280,2,CONCACAF,2003-06-25
46,Saudi Arabia,KSA,581,594,4,AFC,2003-06-25
47,Ukraine,UKR,579,570,0,UEFA,2003-06-25
48,Jamaica,JAM,571,570,0,CONCACAF,2003-06-25
49,Hungary,HUN,570,544,-5,UEFA,2003-06-25
50,Australia,AUS,562,568,1,AFC,2003-06-25
51,Wales,WAL,558,558,1,UEFA,2003-06-25
52,Côte d'Ivoire,CIV,555,533,-7,CAF,2003-06-25
53,New Zealand,NZL,550,557,2,OFC,2003-06-25
54,Trinidad and Tobago,TRI,549,553,2,CONCACAF,2003-06-25
55,Austria,AUT,544,528,-6,UEFA,2003-06-25
55,Slovakia,SVK,544,548,2,UEFA,2003-06-25
55,Venezuela,VEN,544,527,-8,CONMEBOL,2003-06-25
58,Congo DR,COD,541,520,-7,CAF,2003-06-25
