sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,firmid,postevent,NJ,emp
69,1,0,1,0,0,1,0,0,0,0,0,27,3,4.25,13,0.22,0,100,2,7,18,1.17,0.95,0.95,4,2,1,1,111792,,0,27,3,5.05,13,0.2,0,2,7,18,1.26,1.01,1,4,2,57,1,1,27
70,1,0,1,0,0,1,0,0,0,0,35,20,5,4.5,13,0.27,0,50,1,7,16,1.06,0.95,1.02,3,3,1,1,111092,,10,30,5,5.05,4,0.23,,1,7,16,1.05,0.95,1.01,3,3,58,0,1,55
70,1,0,1,0,0,1,0,0,0,0,35,20,5,4.5,13,0.27,0,50,1,7,16,1.06,0.95,1.02,3,3,1,1,111092,,10,30,5,5.05,4,0.23,,1,7,16,1.05,0.95,1.01,3,3,58,1,1,40
71,1,0,1,0,0,1,0,0,0,1,0,35,3,4.75,13,0.25,0,100,3,7,17,1.06,0.95,0.95,3,2,1,1,111692,,29,14,3,5.05,26,0.18,1,3,7,17,1.05,0.95,0.95,3,2,59,0,1,35
71,1,0,1,0,0,1,0,0,0,1,0,35,3,4.75,13,0.25,0,100,3,7,17,1.06,0.95,0.95,3,2,1,1,111692,,29,14,3,5.05,26,0.18,1,3,7,17,1.05,0.95,0.95,3,2,59,1,1,43
73,2,0,1,0,0,1,0,0,0,1,0,7,3,4.25,,0.75,0,40,3,11,12,1.06,1.06,2.45,3,2,1,1,111792,2,14,0,3,5.05,4,0.05,0,2,11,11,1.05,1.05,2.43,3,,60,0,1,7
73,2,0,1,0,0,1,0,0,0,1,0,7,3,4.25,,0.75,0,40,3,11,12,1.06,1.06,2.45,3,2,1,1,111792,2,14,0,3,5.05,4,0.05,0,2,11,11,1.05,1.05,2.43,3,,60,1,1,14
75,2,0,1,0,0,1,0,0,0,0,3,15,3,4.25,4,0.25,0,0,2,11,11,1.17,1.27,2.77,3,3,1,1,111292,,4,11,3,5.05,6,0.25,1,2,11,11,1.16,1.16,2.75,3,3,61,0,1,18
75,2,0,1,0,0,1,0,0,0,0,3,15,3,4.25,4,0.25,0,0,2,11,11,1.17,1.27,2.77,3,3,1,1,111292,,4,11,3,5.05,6,0.25,1,2,11,11,1.16,1.16,2.75,3,3,61,1,1,15
76,3,1,1,0,0,1,0,0,0,0,8,32,4,4.25,26,0.2,0,50,2,6,17,1.12,1.02,1.02,6,3,1,1,111392,,25,15,6,5.05,13,0.15,1,2,6.5,16.5,1.11,1.06,1.05,6,3,62,0,1,40
76,3,1,1,0,0,1,0,0,0,0,8,32,4,4.25,26,0.2,0,50,2,6,17,1.12,1.02,1.02,6,3,1,1,111392,,25,15,6,5.05,13,0.15,1,2,6.5,16.5,1.11,1.06,1.05,6,3,62,1,1,40
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0.15,0,100,2,6,19,1.18,1.07,1.17,6,5,1,1,111992,4,4,60,3,5.05,52,0.15,0,2,6,19,1.06,1.06,1.05,6,2,63,0,1,56
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0.15,0,100,2,6,19,1.18,1.07,1.17,6,5,1,1,111992,4,4,60,3,5.05,52,0.15,0,2,6,19,1.06,1.06,1.05,6,2,63,1,1,64
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0.15,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,,10,12,2,5.05,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3,64,0,1,23
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0.15,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,,10,12,2,5.05,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3,64,1,1,22
79,3,1,1,0,0,1,0,0,0,4,6,25,3,4.5,26,0.15,0,30,2,6,17,1.17,1.02,1.06,5,4,1,1,111392,,8,18,3,5.05,41,0.13,0,2,7,16,1.11,1.06,1.05,5,4,65,0,1,31
79,3,1,1,0,0,1,0,0,0,4,6,25,3,4.5,26,0.15,0,30,2,6,17,1.17,1.02,1.06,5,4,1,1,111392,,8,18,3,5.05,41,0.13,0,2,7,16,1.11,1.06,1.05,5,4,65,1,1,26
80,4,0,1,0,0,1,0,0,0,1,4.5,20,,4.25,26,0.25,0,90,2,10.5,11.5,1.06,0.98,1.06,2,2,1,1,111492,2,11,14,3,5.05,13,0.1,0,2,10.5,12.5,1.12,0.98,0.99,2,1,66,0,1,24.5
80,4,0,1,0,0,1,0,0,0,1,4.5,20,,4.25,26,0.25,0,90,2,10.5,11.5,1.06,0.98,1.06,2,2,1,1,111492,2,11,14,3,5.05,13,0.1,0,2,10.5,12.5,1.12,0.98,0.99,2,1,66,1,1,25
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0.1,0,95,2,10,12,1.06,0.98,1.06,2,2,2,1,121592,3,0,45,4,5.05,,,1,2,10.5,11.5,1.11,0.98,2.07,2,1,67,0,1,38
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0.1,0,95,2,10,12,1.06,0.98,1.06,2,2,2,1,121592,3,0,45,4,5.05,,,1,2,10.5,11.5,1.11,0.98,2.07,2,1,67,1,1,45
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,0.37,1,0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,111492,,25,8,4,5.05,13,0.18,1,2,10.5,13.5,1.11,0.98,1.05,2,2,68,0,1,22.5
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,0.37,1,0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,111492,,25,8,4,5.05,13,0.18,1,2,10.5,13.5,1.11,0.98,1.05,2,2,68,1,1,33
84,1,0,1,0,1,0,0,0,0,3,4,30,5,4.5,26,0.15,0,50,2,7,16,1.04,0.85,0.91,4,2,1,1,111692,,12,30,5,5.05,52,0.2,0,2,7,16,1.05,0.9,0.94,3,3,69,0,1,34
84,1,0,1,0,1,0,0,0,0,3,4,30,5,4.5,26,0.15,0,50,2,7,16,1.04,0.85,0.91,4,2,1,1,111692,,12,30,5,5.05,52,0.2,0,2,7,16,1.05,0.9,0.94,3,3,69,1,1,42
85,1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,0.52,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,,0,35,3,5.05,26,0.18,0,1,9,12.5,1.11,1.01,1.05,5,1,70,0,1,27
85,1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,0.52,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,,0,35,3,5.05,26,0.18,0,1,9,12.5,1.11,1.01,1.05,5,1,70,1,1,35
86,1,0,1,0,1,0,0,0,0,1,11,11,4,4.25,13,0.25,0,,3,7,15,1.06,0.94,1.1,3,3,1,1,111092,,9,12,4,5.05,4,0.13,0,3,7,15,1.05,1.05,1.04,3,3,71,0,1,22
86,1,0,1,0,1,0,0,0,0,1,11,11,4,4.25,13,0.25,0,,3,7,15,1.06,0.94,1.1,3,3,1,1,111092,,9,12,4,5.05,4,0.13,0,3,7,15,1.05,1.05,1.04,3,3,71,1,1,21
87,1,0,1,0,1,0,0,0,1,0,0,15,,4.5,26,,0,,2,7,15,1.06,0.86,1.02,3,3,1,1,111092,,0,30,5,5.05,41,0.18,0,3,7,15,1,0.99,1.04,3,3,72,0,1,15
87,1,0,1,0,1,0,0,0,1,0,0,15,,4.5,26,,0,,2,7,15,1.06,0.86,1.02,3,3,1,1,111092,,0,30,5,5.05,41,0.18,0,3,7,15,1,0.99,1.04,3,3,72,1,1,30
88,1,0,1,1,0,0,0,0,0,0,3,35,3,4.25,,,1,75,3,7,15,1.06,0.87,0.91,5,5,2,1,121892,2,4,37,4,5.05,42,0.18,0,2,7,15,1.05,0.87,0.94,5,2,73,0,1,38
88,1,0,1,1,0,0,0,0,0,0,3,35,3,4.25,,,1,75,3,7,15,1.06,0.87,0.91,5,5,2,1,121892,2,4,37,4,5.05,42,0.18,0,2,7,15,1.05,0.87,0.94,5,2,73,1,1,41
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0.17,0,0,2,7,16,1.09,0.95,1.04,3,2,1,1,111092,,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3,74,0,1,16
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0.17,0,0,2,7,16,1.09,0.95,1.04,3,2,1,1,111092,,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3,74,1,1,31
91,1,1,1,0,1,0,0,0,1,2,8,22,4,4.25,8,0.15,0,100,2,7,17,1.09,0.93,1.04,3,3,1,1,111792,1,0,30,4,5.05,26,0.18,0,1,7,17,1.11,1.05,1.05,3,3,75,0,1,30
91,1,1,1,0,1,0,0,0,1,2,8,22,4,4.25,8,0.15,0,100,2,7,17,1.09,0.93,1.04,3,3,1,1,111792,1,0,30,4,5.05,26,0.18,0,1,7,17,1.11,1.05,1.05,3,3,75,1,1,30
92,1,1,1,0,1,0,0,0,1,0,4,18,4,4.25,13,0.75,0,100,2,7,15,1.09,0.95,1.03,3,3,1,1,111092,,14,6,3,5.05,,0.25,0,2,7,15,1.11,1.01,1.05,3,3,76,0,1,22
92,1,1,1,0,1,0,0,0,1,0,4,18,4,4.25,13,0.75,0,100,2,7,15,1.09,0.95,1.03,3,3,1,1,111092,,14,6,3,5.05,,0.25,0,2,7,15,1.11,1.01,1.05,3,3,76,1,1,20
93,1,1,1,0,0,1,0,0,0,0,2.5,30,3,4.25,52,0.15,0,90,2,7,16,,,0.96,,,1,1,111092,,5,25,5,5.05,13,0.15,0,2,7,16,1.11,1.05,1.05,4,3,77,0,1,32.5
93,1,1,1,0,0,1,0,0,0,0,2.5,30,3,4.25,52,0.15,0,90,2,7,16,,,0.96,,,1,1,111092,,5,25,5,5.05,13,0.15,0,2,7,16,1.11,1.05,1.05,4,3,77,1,1,30
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0.25,0,0,3,11,10,1.06,0.8,2.56,,,1,1,111292,,2,20,4,5.05,52,0.25,0,1,11,10,1.05,0.79,2.53,3,,78,0,1,25
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0.25,0,0,3,11,10,1.06,0.8,2.56,,,1,1,111292,,2,20,4,5.05,52,0.25,0,1,11,10,1.05,0.79,2.53,3,,78,1,1,22
95,2,0,1,0,1,0,0,0,0,1,18,3,4,4.25,26,0.27,0,40,1,11,10,1.06,0.8,2.56,4,3,1,1,111292,,0,14,3,5.05,13,0.25,0,1,11,10,1.05,0.75,2.53,3,3,79,0,1,21
95,2,0,1,0,1,0,0,0,0,1,18,3,4,4.25,26,0.27,0,40,1,11,10,1.06,0.8,2.56,4,3,1,1,111292,,0,14,3,5.05,13,0.25,0,1,11,10,1.05,0.75,2.53,3,3,79,1,1,14
96,2,0,1,0,0,1,0,0,0,2,0,15,2,4.25,26,0.12,0,80,2,11.5,10,1.06,1.01,2.66,3,2,1,1,111892,3,0,15,5,5.05,26,0.15,0,2,11.5,10.5,1.05,0.94,2.59,4,0,80,0,1,15
96,2,0,1,0,0,1,0,0,0,2,0,15,2,4.25,26,0.12,0,80,2,11.5,10,1.06,1.01,2.66,3,2,1,1,111892,3,0,15,5,5.05,26,0.15,0,2,11.5,10.5,1.05,0.94,2.59,4,0,80,1,1,15
97,2,0,1,0,1,0,0,0,0,2,0,12,4,4.25,13,0.25,1,58,2,11,10,1.02,0.75,2.56,3,2,1,1,111292,,2.5,11,3,5.05,13,0.3,0,2,11,10,1.05,0.8,2.54,3,2,81,0,1,12
97,2,0,1,0,1,0,0,0,0,2,0,12,4,4.25,13,0.25,1,58,2,11,10,1.02,0.75,2.56,3,2,1,1,111292,,2.5,11,3,5.05,13,0.3,0,2,11,10,1.05,0.8,2.54,3,2,81,1,1,13.5
98,2,0,1,0,1,0,0,0,1,0,0,20,4,4.25,13,0.4,0,80,3,11,10,1.06,0.8,2.56,3,3,1,1,111292,,3,13,3,5.05,13,0.45,0,1,11,10,1.05,0.9,2.53,3,3,82,0,1,20
98,2,0,1,0,1,0,0,0,1,0,0,20,4,4.25,13,0.4,0,80,3,11,10,1.06,0.8,2.56,3,3,1,1,111292,,3,13,3,5.05,13,0.45,0,1,11,10,1.05,0.9,2.53,3,3,82,1,1,16
99,3,1,1,0,1,0,0,0,1,0,60,40,5,4.75,26,0.15,0,50,2,0,24,1.23,,2.3,8,6,2,1,121892,6,30,50,4,5.05,15,0.25,1,2,0,24,1.22,1.17,2.32,5,2,83,0,1,100
99,3,1,1,0,1,0,0,0,1,0,60,40,5,4.75,26,0.15,0,50,2,0,24,1.23,,2.3,8,6,2,1,121892,6,30,50,4,5.05,15,0.25,1,2,0,24,1.22,1.17,2.32,5,2,83,1,1,80
101,3,0,1,0,1,0,0,0,1,3,4.5,15,3,4.75,26,0.15,0,80,2,7,15,1.2,1.18,1.06,6,4,1,1,111392,,10,12,3,5.05,26,0.15,0,2,7,15,1.15,1.1,1.05,8,3,84,0,1,19.5
101,3,0,1,0,1,0,0,0,1,3,4.5,15,3,4.75,26,0.15,0,80,2,7,15,1.2,1.18,1.06,6,4,1,1,111392,,10,12,3,5.05,26,0.15,0,2,7,15,1.15,1.1,1.05,8,3,84,1,1,22
102,3,0,1,1,0,0,0,0,0,2,12,13,3,4.4,52,0.2,0,15,2,7,16,1.06,0.91,1.07,6,4,1,1,111392,,0,27,2,5.05,52,0.25,0,2,7,15,1.07,1.01,1.05,5,5,85,0,1,25
102,3,0,1,1,0,0,0,0,0,2,12,13,3,4.4,52,0.2,0,15,2,7,16,1.06,0.91,1.07,6,4,1,1,111392,,0,27,2,5.05,52,0.25,0,2,7,15,1.07,1.01,1.05,5,5,85,1,1,27
104,4,0,1,0,1,0,0,0,1,0,40,20,3,4.62,4,0.32,1,50,2,10.5,11.5,0.95,0.84,0.94,2,2,1,1,111492,1,11,10,3,5.05,26,0.08,1,2,10.5,12.5,1,0.84,0.94,2,2,86,0,1,60
104,4,0,1,0,1,0,0,0,1,0,40,20,3,4.62,4,0.32,1,50,2,10.5,11.5,0.95,0.84,0.94,2,2,1,1,111492,1,11,10,3,5.05,26,0.08,1,2,10.5,12.5,1,0.84,0.94,2,2,86,1,1,21
105,1,0,1,0,0,1,0,0,0,2,0,40,4,4.25,10,,0,50,2,6.5,16.5,0.96,1,1.03,4,2,1,1,111092,,0,45,4,5.05,13,0.25,0,2,6.5,16.5,1.05,0.99,1.16,4,3,87,0,1,40
105,1,0,1,0,0,1,0,0,0,2,0,40,4,4.25,10,,0,50,2,6.5,16.5,0.96,1,1.03,4,2,1,1,111092,,0,45,4,5.05,13,0.25,0,2,6.5,16.5,1.05,0.99,1.16,4,3,87,1,1,45
106,1,0,1,0,0,1,0,0,0,0,0,35,3,4.25,26,0.27,0,65,3,7,16,1.06,0.95,0.95,2,1,1,1,111092,,2,25,3,5.05,26,0.2,0,0,7,16,1.05,0.95,0.95,2,2,88,0,1,35
106,1,0,1,0,0,1,0,0,0,0,0,35,3,4.25,26,0.27,0,65,3,7,16,1.06,0.95,0.95,2,1,1,1,111092,,2,25,3,5.05,26,0.2,0,0,7,16,1.05,0.95,0.95,2,2,88,1,1,27
107,1,1,1,0,0,1,0,0,0,0,6,11,3,4.25,8,0.32,0,40,1,8,14.5,1.17,0.95,0.95,3,3,2,1,123092,9,13.5,10,2,5.05,,,0,1,8,14,,1.01,1,4,2,89,0,1,17
107,1,1,1,0,0,1,0,0,0,0,6,11,3,4.25,8,0.32,0,40,1,8,14.5,1.17,0.95,0.95,3,3,2,1,123092,9,13.5,10,2,5.05,,,0,1,8,14,,1.01,1,4,2,89,1,1,23.5
108,1,0,1,0,0,1,0,0,0,2,13.5,15,4,4.25,26,0.37,1,6,1,7,17,1.27,1.01,1.06,3,3,1,1,111692,,11,24,5,5.05,26,0.15,0,1,7,17,1.37,1.02,1.05,3,3,90,0,1,28.5
108,1,0,1,0,0,1,0,0,0,2,13.5,15,4,4.25,26,0.37,1,6,1,7,17,1.27,1.01,1.06,3,3,1,1,111692,,11,24,5,5.05,26,0.15,0,1,7,17,1.37,1.02,1.05,3,3,90,1,1,35
111,3,0,1,0,0,1,0,0,0,0,17,14,3,4.25,2,0.42,0,55,3,7,16,1.17,1.06,1.01,5,5,1,1,111892,1,20,14.5,3,5.05,26,,0,2,7,16,1.16,1.16,1,5,4,91,0,1,31
111,3,0,1,0,0,1,0,0,0,0,17,14,3,4.25,2,0.42,0,55,3,7,16,1.17,1.06,1.01,5,5,1,1,111892,1,20,14.5,3,5.05,26,,0,2,7,16,1.16,1.16,1,5,4,91,1,1,34.5
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,,,92,0,1,30
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,,,92,1,1,30
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.06,0.95,1,4,,1,1,111092,,2,40,5,5.05,26,0.28,1,2,7,16,1.05,0.9,0.98,3,2,93,0,1,22
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.06,0.95,1,4,,1,1,111092,,2,40,5,5.05,26,0.28,1,2,7,16,1.05,0.9,0.98,3,2,93,1,1,42
114,1,0,1,0,1,0,0,0,0,2,0,35,5,4.75,26,0.57,1,50,2,7,16,1.07,0.95,0.95,3,,1,1,111792,1,20,40,4,5.25,26,0.25,0,2,6.5,16.5,1.11,0.94,0.94,3,3,94,0,1,35
114,1,0,1,0,1,0,0,0,0,2,0,35,5,4.75,26,0.57,1,50,2,7,16,1.07,0.95,0.95,3,,1,1,111792,1,20,40,4,5.25,26,0.25,0,2,6.5,16.5,1.11,0.94,0.94,3,3,94,1,1,60
115,1,0,1,0,1,0,0,0,0,0,20,25,4,4.75,4,0.3,0,25,1,7,17,1.06,0.95,1.06,4,3,1,1,111092,,6,15,4,5.05,,,,1,7,17,1.05,0.95,1.01,4,4,95,0,1,45
115,1,0,1,0,1,0,0,0,0,0,20,25,4,4.75,4,0.3,0,25,1,7,17,1.06,0.95,1.06,4,3,1,1,111092,,6,15,4,5.05,,,,1,7,17,1.05,0.95,1.01,4,4,95,1,1,21
116,1,0,1,0,1,0,0,0,0,0,4,22.5,2,4.25,18,0.37,0,90,2,8.5,13,1.49,1.02,1.11,7,3,1,1,111092,,22,12,3,5.05,13,0.45,1,2,8.5,13,1.39,0.95,1.21,8,2,96,0,1,26.5
116,1,0,1,0,1,0,0,0,0,0,4,22.5,2,4.25,18,0.37,0,90,2,8.5,13,1.49,1.02,1.11,7,3,1,1,111092,,22,12,3,5.05,13,0.45,1,2,8.5,13,1.39,0.95,1.21,8,2,96,1,1,34
118,1,0,1,0,0,1,0,0,0,3,10,15,4,4.25,26,0.15,0,70,2,7,15,1.06,0.95,1.01,4,2,1,1,111692,,18,20,3,5.05,26,0.38,0,2,7,15,1.05,0.94,1,4,2,97,0,1,25
118,1,0,1,0,0,1,0,0,0,3,10,15,4,4.25,26,0.15,0,70,2,7,15,1.06,0.95,1.01,4,2,1,1,111692,,18,20,3,5.05,26,0.38,0,2,7,15,1.05,0.94,1,4,2,97,1,1,38
119,1,0,1,0,0,1,0,0,0,2,12,19,3,4.75,13,0.27,1,50,3,6.5,16.5,1.06,0.91,0.95,3,3,1,1,111692,1,18,13,4,5.05,26,,0,3,6.5,17.5,1.05,0.89,0.95,3,3,98,0,1,31
119,1,0,1,0,0,1,0,0,0,2,12,19,3,4.75,13,0.27,1,50,3,6.5,16.5,1.06,0.91,0.95,3,3,1,1,111692,1,18,13,4,5.05,26,,0,3,6.5,17.5,1.05,0.89,0.95,3,3,98,1,1,31
120,1,1,1,0,1,0,0,0,0,3,0,32,3,4.5,,,0,,2,7,16,1.13,0.98,1.04,3,2,1,1,111992,3,0,30,4,5.05,,,0,2,7,16,1.05,1.05,1.05,3,2,99,0,1,32
120,1,1,1,0,1,0,0,0,0,3,0,32,3,4.5,,,0,,2,7,16,1.13,0.98,1.04,3,2,1,1,111992,3,0,30,4,5.05,,,0,2,7,16,1.05,1.05,1.05,3,2,99,1,1,30
122,1,0,1,0,0,1,0,0,0,0,1,38,5,4.25,4,0.2,0,70,1,9,12.5,,1.12,1.12,5,3,1,1,111092,,10,50,6,5.05,26,0.1,0,1,9,12.5,1.15,0.94,1.15,6,4,100,0,1,39
122,1,0,1,0,0,1,0,0,0,0,1,38,5,4.25,4,0.2,0,70,1,9,12.5,,1.12,1.12,5,3,1,1,111092,,10,50,6,5.05,26,0.1,0,1,9,12.5,1.15,0.94,1.15,6,4,100,1,1,60
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.06,0.95,1.01,2,1,1,1,111092,,5,25,4,5.05,26,0.15,0,3,7.5,14,1.05,0.94,1,3,2,101,0,1,20
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.06,0.95,1.01,2,1,1,1,111092,,5,25,4,5.05,26,0.15,0,3,7.5,14,1.05,0.94,1,3,2,101,1,1,30
124,1,0,1,0,1,0,0,0,0,1,8,10,3,4.25,13,0.25,0,14,2,8,15,1.06,0.91,1.04,2,2,1,1,111092,,21,6,4,5.05,13,0.5,1,3,7,15,1.16,0.94,1.12,2,2,102,0,1,18
124,1,0,1,0,1,0,0,0,0,1,8,10,3,4.25,13,0.25,0,14,2,8,15,1.06,0.91,1.04,2,2,1,1,111092,,21,6,4,5.05,13,0.5,1,3,7,15,1.16,0.94,1.12,2,2,102,1,1,27
125,2,0,1,0,1,0,0,0,0,0,15,0,4,4.5,26,0.25,0,100,1,10,12.5,0.91,0.85,2.34,3,2,1,1,111492,,0,15,2,5.05,52,0.4,0,1,10,12,1.01,1.01,2.49,4,3,103,0,1,15
125,2,0,1,0,1,0,0,0,0,0,15,0,4,4.5,26,0.25,0,100,1,10,12.5,0.91,0.85,2.34,3,2,1,1,111492,,0,15,2,5.05,52,0.4,0,1,10,12,1.01,1.01,2.49,4,3,103,1,1,15
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,,0.15,0,,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2,104,0,1,14
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,,0.15,0,,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2,104,1,1,19
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3,105,0,1,40
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3,105,1,1,25
130,3,1,1,0,1,0,0,0,0,2,7,25.5,3,4.5,19,0.3,0,15,2,5,18,1.12,1.07,1,4,3,2,1,122192,6,2,38,4,5.05,4,0.15,0,2,7,16,1.11,1.06,1.05,5,3,106,0,1,32.5
130,3,1,1,0,1,0,0,0,0,2,7,25.5,3,4.5,19,0.3,0,15,2,5,18,1.12,1.07,1,4,3,2,1,122192,6,2,38,4,5.05,4,0.15,0,2,7,16,1.11,1.06,1.05,5,3,106,1,1,40
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,,,0,2,7,15,1.05,1.11,1.05,5,4,107,0,1,40
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,,,0,2,7,15,1.05,1.11,1.05,5,4,107,1,1,30
132,3,1,1,0,1,0,0,0,0,0,20,20,5,4.5,26,0.25,0,80,2,0,24,1.28,1.06,2.3,5,3,1,1,111692,,15,20,3,5.5,52,0.25,0,2,7,14,,,,2,2,108,0,1,40
132,3,1,1,0,1,0,0,0,0,0,20,20,5,4.5,26,0.25,0,80,2,0,24,1.28,1.06,2.3,5,3,1,1,111692,,15,20,3,5.5,52,0.25,0,2,7,14,,,,2,2,108,1,1,35
133,3,1,1,0,1,0,0,0,0,0,6,16,2,4.75,26,,0,99,2,6,17,1.12,1.07,1.06,4,3,1,1,111392,,3,20,3,5.05,26,,0,2,7,15,1.11,1.06,2.11,5,3,109,0,1,22
133,3,1,1,0,1,0,0,0,0,0,6,16,2,4.75,26,,0,99,2,6,17,1.12,1.07,1.06,4,3,1,1,111392,,3,20,3,5.05,26,,0,2,7,15,1.11,1.06,2.11,5,3,109,1,1,23
134,3,0,1,0,1,0,0,0,0,2,5.5,25,3,4.62,,,0,42,2,6,16,1.09,,0.95,4,3,1,1,111392,,6,27.5,3,5.05,52,0.25,0,2,6,16,1.11,1.06,0.94,4,3,110,0,1,30.5
134,3,0,1,0,1,0,0,0,0,2,5.5,25,3,4.62,,,0,42,2,6,16,1.09,,0.95,4,3,1,1,111392,,6,27.5,3,5.05,52,0.25,0,2,6,16,1.11,1.06,0.94,4,3,110,1,1,33.5
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.05,,0.25,0,2,10,11.5,1.16,1.06,1.05,5,3,111,0,1,30
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.05,,0.25,0,2,10,11.5,1.16,1.06,1.05,5,3,111,1,1,32
137,3,1,1,0,0,1,0,0,0,3,15,25,3,4.25,26,0.15,0,50,2,6,16,1.12,1.06,1.02,6,4,1,1,111692,1,12,30,5,5.05,26,0.25,0,2,7,15,1.11,1.11,1.05,5,3,112,0,1,40
137,3,1,1,0,0,1,0,0,0,3,15,25,3,4.25,26,0.15,0,50,2,6,16,1.12,1.06,1.02,6,4,1,1,111692,1,12,30,5,5.05,26,0.25,0,2,7,15,1.11,1.11,1.05,5,3,112,1,1,42
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.07,1.06,6,,1,1,111692,,2,33,3,5.05,26,0.2,0,2,10,11.5,1.21,1.01,0.94,6,4,113,0,1,30
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.07,1.06,6,,1,1,111692,,2,33,3,5.05,26,0.2,0,2,10,11.5,1.21,1.01,0.94,6,4,113,1,1,35
140,4,0,1,0,1,0,0,0,0,0,0,40,3,4.5,26,0.37,1,25,2,10.5,11.5,0.91,0.86,1.06,2,2,1,1,111492,,5,35,5,5.67,4,0.25,1,2,10.5,11.5,1,0.94,1.05,2,2,114,0,1,40
140,4,0,1,0,1,0,0,0,0,0,0,40,3,4.5,26,0.37,1,25,2,10.5,11.5,0.91,0.86,1.06,2,2,1,1,111492,,5,35,5,5.67,4,0.25,1,2,10.5,11.5,1,0.94,1.05,2,2,114,1,1,40
